2026-04-25 18:52:06 | WARNING | login_fallido | usuario: root | IP: 45.33.32.156
2026-04-25 18:21:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 17:30:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 17:48:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:00:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:22:14 | WARNING | login_fallido | usuario: root | IP: 45.33.32.156
2026-04-25 18:57:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:33:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 17:15:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:18:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:57:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 17:21:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 17:18:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 18:45:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 17:09:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:28:50 | WARNING | login_fallido | usuario: admin | IP: 45.33.32.156
2026-04-25 18:36:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 17:39:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 17:12:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:54:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:15:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 18:54:12 | WARNING | proceso_desconocido | nombre: svch0st.exe | ruta: C:\Temp\svch0st.exe
2026-04-25 18:09:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 18:24:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 17:06:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:30:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:03:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 17:45:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 17:24:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:57:53 | WARNING | login_fallido | usuario: admin | IP: 45.33.32.156
2026-04-25 18:01:26 | WARNING | descarga_script | url: http://evil-site.ru/payload.ps1 | usuario: system
2026-04-25 17:36:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 18:42:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 18:41:16 | WARNING | login_fallido | usuario: admin | IP: 45.33.32.156
2026-04-25 17:08:52 | WARNING | login_fallido | usuario: admin | IP: 45.33.32.156
2026-04-25 17:42:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:14:30 | WARNING | descarga_script | url: http://evil-site.ru/payload.ps1 | usuario: system
2026-04-25 18:06:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 18:22:52 | WARNING | conexion_saliente | destino: 185.220.101.45:4444 | proceso: svch0st.exe
2026-04-25 18:39:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 18:27:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 18:03:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 17:51:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:54:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:33:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 18:48:33 | INFO | conexion_saliente | destino: google.com:443 | proceso: chrome.exe
2026-04-25 17:27:33 | INFO | archivo_accedido | ruta: C:\Users\jgarcia\docs | usuario: jgarcia
2026-04-25 17:00:33 | INFO | login_exitoso | usuario: mlopez | IP: 192.168.1.25
2026-04-25 18:51:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
2026-04-25 18:12:33 | INFO | login_exitoso | usuario: jgarcia | IP: 192.168.1.10
